rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude,content_type,created_month_num,created_full_date,channel_age_days,created_weekday
1,T-Series,245000000,228000000000.0,Music,T-Series,20082,India,IN,Music,1.0,1.0,1.0,2258000000.0,564600.0,9000000.0,6800000.0,108400000.0,2006.0,3.0,13,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Music,3,2006-03-13,7251,0
2,YouTube Movies,170000000,0.0,Film & Animation,youtubemovies,1,United States,US,Games,4055159.0,7670.0,7423.0,12.0,0.0,0.05,0.04,0.58,2006.0,3.0,5,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Film & Animation,3,2006-03-05,7259,6
3,MrBeast,166000000,28368841870.0,Entertainment,MrBeast,741,United States,US,Entertainment,48.0,1.0,1.0,1348000000.0,337000.0,5400000.0,4000000.0,64700000.0,2012.0,2.0,20,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Entertainment,2,2012-02-20,5081,0
4,Cocomelon - Nursery Rhymes,162000000,164000000000.0,Education,Cocomelon - Nursery Rhymes,966,United States,US,Education,2.0,2.0,1.0,1975000000.0,493800.0,7900000.0,5900000.0,94800000.0,2006.0,9.0,1,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Education,9,2006-09-01,7079,4
5,SET India,159000000,148000000000.0,Shows,SET India,116536,India,IN,Entertainment,3.0,2.0,2.0,1824000000.0,455900.0,7300000.0,5500000.0,87500000.0,2006.0,9.0,20,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Shows,9,2006-09-20,7060,2
6,Music,119000000,0.0,,Music,0,Unknown,Unknown,Music,4057944.0,,,64085000.0,0.0,0.0,0.0,0.0,2013.0,9.0,24,,,,,,,Music,9,2013-09-24,4499,1
7,ýýý Kids Diana Show,112000000,93247040539.0,People & Blogs,ýýý Kids Diana Show,1111,United States,US,Entertainment,5.0,3.0,3.0,731674000.0,182900.0,2900000.0,2200000.0,35100000.0,2015.0,5.0,12,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,People & Blogs,5,2015-05-12,3904,1
8,PewDiePie,111000000,29058044447.0,Gaming,PewDiePie,4716,Japan,JP,Entertainment,44.0,1.0,4.0,39184000.0,9800.0,156700.0,117600.0,1900000.0,2010.0,4.0,29,63.2,126226568.0,2.29,115782416.0,36.204824,138.252924,Gaming,4,2010-04-29,5743,3
9,Like Nastya,106000000,90479060027.0,People & Blogs,Like Nastya Vlog,493,Russia,RU,People,630.0,5.0,25.0,48947000.0,12200.0,195800.0,146800.0,2300000.0,2016.0,1.0,14,81.9,144373535.0,4.59,107683889.0,61.52401,105.318756,People & Blogs,1,2016-01-14,3657,3
10,Vlad and Niki,98900000,77180169894.0,Entertainment,Vlad and Niki,574,United States,US,Entertainment,8.0,5.0,6.0,580574000.0,145100.0,2300000.0,1700000.0,27900000.0,2018.0,4.0,23,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Entertainment,4,2018-04-23,2827,0
11,Zee Music Company,96700000,57856289381.0,Music,Zee Music Company,8548,India,IN,Music,12.0,3.0,2.0,803613000.0,200900.0,3200000.0,2400000.0,38600000.0,2014.0,3.0,12,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Music,3,2014-03-12,4330,2
12,WWE,96000000,77428473662.0,Sports,WWE,70127,United States,US,Sports,7.0,6.0,1.0,714614000.0,178700.0,2900000.0,2100000.0,34300000.0,2007.0,5.0,11,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Sports,5,2007-05-11,6827,4
13,Gaming,93600000,0.0,,Gaming,0,Unknown,Unknown,Games,4057944.0,,1.0,64085000.0,0.0,0.0,0.0,0.0,2013.0,12.0,15,,,,,,,Games,12,2013-12-15,4417,6
14,BLACKPINK,89800000,32144597566.0,People & Blogs,BLACKPINK,543,South Korea,KR,Music,32.0,1.0,3.0,498930000.0,124700.0,2000000.0,1500000.0,23900000.0,2016.0,6.0,29,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922,People & Blogs,6,2016-06-29,3490,2
15,Goldmines,86900000,24118230580.0,Film & Animation,goldmines,1,Unknown,Unknown,Music,4056562.0,,5663.0,18.0,0.0,0.07,0.05,0.86,2006.0,8.0,15,,,,,,,Film & Animation,8,2006-08-15,7096,1
16,Sony SAB,83000000,101000000000.0,Shows,Sony SAB,71270,India,IN,Entertainment,4.0,5.0,7.0,1657000000.0,414300.0,6600000.0,5000000.0,79600000.0,2007.0,8.0,4,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Shows,8,2007-08-04,6742,5
17,5-Minute Crafts,80100000,26236790209.0,Howto & Style,5-Minute Crafts 2.0,1,United Kingdom,GB,Entertainment,4057901.0,4797.0,6781.0,1.0,0.0,0.0,0.0,0.05,2020.0,7.0,27,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973,Howto & Style,7,2020-07-27,2001,0
18,BANGTANTV,75600000,20826993957.0,Music,BANGTANTV,2281,South Korea,KR,Music,112.0,2.0,4.0,168290000.0,42100.0,673200.0,504900.0,8100000.0,2012.0,12.0,17,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922,Music,12,2012-12-17,4780,0
19,Sports,75000000,0.0,,sports,3,United States,US,Entertainment,3898122.0,6266.0,5395.0,16.0,0.0,0.06,0.05,0.77,2006.0,1.0,30,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Entertainment,1,2006-01-30,7293,0
20,Justin Bieber,71600000,30608119724.0,Music,Justin Bieber,249,Canada,CA,Music,38.0,1.0,6.0,176326000.0,44100.0,705300.0,529000.0,8500000.0,2007.0,1.0,15,68.9,36991981.0,5.56,30628482.0,56.130366,-106.346771,Music,1,2007-01-15,6943,0
21,HYBE LABELS,71300000,28634566938.0,Music,HYBE LABELS,1337,South Korea,KR,Music,46.0,3.0,5.0,598173000.0,149500.0,2400000.0,1800000.0,28700000.0,2008.0,6.0,4,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922,Music,6,2008-06-04,6437,2
